>> .show netypes
The value DEPRECATED in the second column means that
the NE type is old and should no longer be used.
It is not shown by the Create NE dialogue in the GUI.

The value TEMPLATE-BASED in the second colum means that
the NE type has been created from a template.

If the NE type name starts with "TEMPLATE",
the NE type can only be used to create other NE types.
NE type templates are not shown by the Create NE
dialogue, but the NE types created from them are.

ACME 4-0                                     ACME 4.0
ACME 4-1-1                                   ACME 4.1.1
ACME 4-1-4                                   ACME 4.1.4
ACME 5-0                                     ACME 5.0
ACME 5-1                                     ACME 5.1
AXD 12-0                                     AXD 12.0
AXD 7-1                                      AXD 7.1
AXD 7-5                                      AXD 7.5
CISCO ASR900                     TEMPLATE-BASED CISCO ASR900
CISCO ASR9000                    TEMPLATE-BASED CISCO ASR9000
EDA1200 EDASIM                               EDA1200 EDASIM
EDA1200 R14B03-EDX               TEMPLATE-BASED ECN430 with EDN612/624 and ESN212 (extended config)
EDA1200 R14B03-EDX-96            TEMPLATE-BASED ECN430 with EDN612 and EDN624 (96 line config)
EDA1200 R14B03-big               TEMPLATE-BASED ECN430 with EDN624 and EFN324 (extended config)
EDA1200 R14B03-orig              TEMPLATE-BASED ECN430 with EDN624 and EFN324 (original config)
EDA1500 BLM1500                              BLM 1500
EDA2530 4-25                     TEMPLATE-BASED EDA2530 4.25
EDA2530 4-31                     TEMPLATE-BASED EDA2530 4.31
ESC R9A                          TEMPLATE-BASED ESC R9A
EdgeRouter 6672                  TEMPLATE-BASED EdgeRouter 6672
FrontHaul 6080                   TEMPLATE-BASED FrontHaul 6080
FrontHaul-6080 17A-V1            TEMPLATE-BASED FrontHaul-6080_17A-V1
JUNIPER MX                       TEMPLATE-BASED JUNIPER MX
MDRS 155EC                       TEMPLATE-BASED MDRS
MHL-3000 R5-2                    TEMPLATE-BASED MHL 3000 R5.2
MHL-3000 R5-2-4LINE              TEMPLATE-BASED MHL 3000 R5.2 (4 Lines)
MHL-3000 R5-2-NM                 TEMPLATE-BASED MHL 3000 R5.2 with NM support
MHL-3000 R6-0                    TEMPLATE-BASED MHL 3000 R6.0
MHL-3000 R6-0-40G-Coherent       TEMPLATE-BASED MHL 3000 R6.0 with 40G Coherent card
MHL-3000 R6-0-CNP                TEMPLATE-BASED MHL 3000 R6.0 CNP
MHL-3000 R6-0-CNP-NM             TEMPLATE-BASED MHL 3000 R6.0 CNP with NM support
MHL-3000 R6-0-CNP-SMC            TEMPLATE-BASED MHL 3000 R6.0 CNP with SMC inventory
MHL-3000 R6-0-NM                 TEMPLATE-BASED MHL 3000 R6.0 with NM support
MHL-3000 R6-1                    TEMPLATE-BASED MHL 3000 R6.1
MHL-3000 R6-1-100G               TEMPLATE-BASED MHL 3000 R6.1 with 100G card
MHL-3000 R6-1-10G                TEMPLATE-BASED MHL 3000 R6.1 with 10G card
MHL-3000 R6-1-NM                 TEMPLATE-BASED MHL 3000 R6.1 with NM support
MHL-3000 R6-2-NM                 TEMPLATE-BASED MHL 3000 R6.2 with NM support
MHL-XC GENERAL                               MHL-XC
ML 6351-2-4                      TEMPLATE-BASED ML 6351 2.4
ML 6351-2-5                      TEMPLATE-BASED ML 6351 2.5
ML 6351-2-6                      TEMPLATE-BASED ML 6351 2.6
ML 6351-2-7                      TEMPLATE-BASED ML 6351 2.7
ML 6351-2-8                      TEMPLATE-BASED ML 6351 2.8
ML 6352-2-5                      TEMPLATE-BASED ML 6352 2.5
ML 6352-2-6                      TEMPLATE-BASED ML 6352 2.6
ML 6352-2-7                      TEMPLATE-BASED ML 6352 2.7
ML 6352-2-8                      TEMPLATE-BASED ML 6352 2.8
ML 6691-1-0                      TEMPLATE-BASED ML 6691 1.0
ML 6691-1-1                      TEMPLATE-BASED ML 6691 1.1
ML 6691-1-1_17A                  TEMPLATE-BASED ML 6691 1.1 17A
ML-CN 210-1-2                    TEMPLATE-BASED ML-CN 210 R1.2
ML-CN 500-2-1                    TEMPLATE-BASED ML-CN 500 R2.1
ML-CN 500-2-2-1                  TEMPLATE-BASED ML-CN 500 R2.2.1
ML-CN 510-1-0                    TEMPLATE-BASED ML-CN 510 R1.0
ML-CN 510-1-2                    TEMPLATE-BASED ML-CN 510 R1.2
ML-CN 510-2-1                    TEMPLATE-BASED ML-CN 510 R2.1
ML-CN 510-2-3                    TEMPLATE-BASED ML-CN 510 R2.3
ML-CN 510-2-3-FP                 TEMPLATE-BASED ML-CN 510 R2.3FP
ML-CN 510-2-4                    TEMPLATE-BASED ML-CN 510 R2.4
ML-CN 510-2-4-FP                 TEMPLATE-BASED ML-CN 510 2.4FP
ML-CN 810-2-3                    TEMPLATE-BASED ML-CN 810 R2.3F
ML-FRONTHAUL 6392-1-0            TEMPLATE-BASED Fronthaul 6392 1.0
ML-FRONTHAUL 6392-1-1            TEMPLATE-BASED Fronthaul 6392 1.1
ML-LH 1-3                        TEMPLATE-BASED ML-LH 1-3
ML-LH 1-5                        TEMPLATE-BASED ML-LH 1-5
ML-LH 1-6                        TEMPLATE-BASED ML-LH 1-6
ML-LH 1-6-FP                     TEMPLATE-BASED ML-LH 1-6FP
ML-LH 2-0                        TEMPLATE-BASED ML-LH 2-0
ML-PT 2010-1-1                   TEMPLATE-BASED ML-PT 2010 1.1
ML-PT 2010-1-2                   TEMPLATE-BASED ML-PT 2010 1.2
ML-PT 2010-2-0                   TEMPLATE-BASED ML-PT 2010 2.0
ML-PT 2020-2-1                   TEMPLATE-BASED ML-PT 2020 2.1
ML-PT 2020-2-2                   TEMPLATE-BASED ML-PT 2020 2.2
ML-PT 2020-2-3                   TEMPLATE-BASED ML-PT 2020 2.3
ML-PT 2020-2-4                   TEMPLATE-BASED ML-PT 2020 2.4
ML-PT 2020-2-6                   TEMPLATE-BASED ML-PT 2020 2.6
ML-PT 2020-2-7                   TEMPLATE-BASED ML-PT 2020 2.7
ML-PT 2020-2-8                   TEMPLATE-BASED ML-PT 2020 2.8
ML-PT 3060-1-0                   TEMPLATE-BASED ML-PT 3060 1.0
ML-PT 3060-1-1                   TEMPLATE-BASED ML-PT 3060 1.1
ML-PT 6010-1-0                   TEMPLATE-BASED ML-PT 6010 R1.0
ML-PT 6010-1-1                   TEMPLATE-BASED ML-PT 6010 R1.1
ML-PT 6010-1-2                   TEMPLATE-BASED ML-PT 6010 R1.2
ML-PT 6010-1-2-2                 TEMPLATE-BASED ML-PT 6010 R1.2.2
ML-PT 6020-2-1                   TEMPLATE-BASED ML-PT 6020 2.1
ML-PT 6020-2-2                   TEMPLATE-BASED ML-PT 6020 2.2
ML-PT 6020-2-3                   TEMPLATE-BASED ML-PT 6020 2.3
ML-PT 6020-2-4                   TEMPLATE-BASED ML-PT 6020 2.4
ML-PT 6020-2-6                   TEMPLATE-BASED ML-PT 6020 2.6
ML-SP 110-1-2                    TEMPLATE-BASED ML-SP 110 R1.2
ML-SP 110-1-3                    TEMPLATE-BASED ML-SP 110 R1.3
ML-SP 110-1-7                    TEMPLATE-BASED ML-SP 110 R1.7
ML-SP 110-1-7-R14B               TEMPLATE-BASED ML-SP 110 R14B
ML-SP 110-1-7-packet             TEMPLATE-BASED ML-SP 110 R1.7
ML-SP 110-1-8                    TEMPLATE-BASED ML-SP 110 R1.8
ML-SP 110-1-8-R14A-FP2           TEMPLATE-BASED ML-SP 110 R14A FP2
ML-SP 110-R10C02                 TEMPLATE-BASED ML-SP 110 R10C02
ML-SP 210-1-2                    TEMPLATE-BASED ML-SP 210 R1.2
ML-SP 210-1-3                    TEMPLATE-BASED ML-SP 210 R1.3
ML-SP 210-1-4                    TEMPLATE-BASED ML-SP 210 R1.4
ML-SP 210-1-5                    TEMPLATE-BASED ML-SP 210 R1.5
ML-SP 210-1-6                    TEMPLATE-BASED ML-SP 210 R1.6
ML-SP 210-1-6-oneNe              TEMPLATE-BASED ML-SP 210 1.6 oneNe
ML-SP 210-1-7                    TEMPLATE-BASED ML-SP 210 R1.7
ML-SP 210-1-7-R14B               TEMPLATE-BASED ML-SP 210 R14B
ML-SP 210-1-8                    TEMPLATE-BASED ML-SP 210 R1.8
ML-SP 210-1-8-R14A-FP2           TEMPLATE-BASED ML-SP 210 R14A FP2
ML-SP 210-1-9                    TEMPLATE-BASED ML-SP 210 R1.9
ML-SP 310-1-0                    TEMPLATE-BASED ML-SP 310 R1.0
ML-SP 310-1-2                    TEMPLATE-BASED ML-SP 310 R1.2
ML-SP 310-1-3                    TEMPLATE-BASED ML-SP 310 R1.3
ML-SP 310-1-3-MEFPM              TEMPLATE-BASED ML-SP 310 R1.3
ML-SP 310-1-4                    TEMPLATE-BASED ML-SP 310 R1.4
ML-SP 310-1-4-Packet             TEMPLATE-BASED ML-SP 310 R1.4
ML-SP 310-1-5                    TEMPLATE-BASED ML-SP 310 R1.5
ML-SP 310-1-6                    TEMPLATE-BASED ML-SP 310 R1.6
ML-SP 310-1-6-oneNe              TEMPLATE-BASED ML-SP 310 1.6 oneNe
ML-SP 310-1-7                    TEMPLATE-BASED ML-SP 310 R1.7
ML-SP 310-1-7-R14B               TEMPLATE-BASED ML-SP 310 R14B
ML-SP 310-1-7-packet             TEMPLATE-BASED ML-SP 310 R1.7
ML-SP 310-1-8                    TEMPLATE-BASED ML-SP 310 R1.8
ML-SP 310-1-8-R14A-FP2           TEMPLATE-BASED ML-SP 310 R14A FP2
ML-SP 310-R10C06                 TEMPLATE-BASED ML-SP 310 R10C06
ML-SP 415                        TEMPLATE-BASED ML-SP 415
ML-SP 415-2-1                    TEMPLATE-BASED ML-SP 415 2.1
ML-SP 420                        TEMPLATE-BASED ML-SP 420
ML-SP 420-2-1                    TEMPLATE-BASED ML-SP 420 2-1
ML-SWITCH 6391-2-5               TEMPLATE-BASED Switch 6391 2.5
ML-SWITCH 6391-2-6               TEMPLATE-BASED Switch 6391 2.6
ML-SWITCH 6391-2-7               TEMPLATE-BASED Switch 6391 2.7
ML-SWITCH 6391-2-8               TEMPLATE-BASED Switch 6391 2.8
ML-TN 4-0                        TEMPLATE-BASED ML-TN 4.0
ML-TN 4-1                        TEMPLATE-BASED ML-TN 4.1
ML-TN 4-2                        TEMPLATE-BASED ML-TN 4.2
ML-TN 4-3                        TEMPLATE-BASED ML-TN 4.3
ML-TN 4-3-1-AMM1p                TEMPLATE-BASED ML-TN 4.3.1 AMM1p
ML-TN 4-3-1-AMM20pB              TEMPLATE-BASED ML-TN 4.3.1 AMM20pB
ML-TN 4-3-1-AMM6pD               TEMPLATE-BASED ML-TN 4.3.1 AMM6pD
ML-TN 4-3-1-AMM6pD-ELAN          TEMPLATE-BASED ML-TN 4.3.1 AMM6pD E-LAN
ML-TN 4-3-1-MLCN                 TEMPLATE-BASED ML-TN 4.3.1 MLCN/CN500
ML-TN 4-3-FP                     TEMPLATE-BASED ML-TN 4.3FP
ML-TN 4-4-AMM20pB                TEMPLATE-BASED ML-TN 4.4 AMM20pB
ML-TN 4-4-FP                     TEMPLATE-BASED ML-TN 4.4 FP
ML-TN 4-4-FP-AMM20pB-big         TEMPLATE-BASED ML-TN 4.4 FP AMM20pB_big
ML-TN 4-4-FP-AMM6pD-big          TEMPLATE-BASED ML-TN 4.4 FP AMM6pD_big
ML-TN 4-4-FP-R22B12              TEMPLATE-BASED ML-TN 4.4 FP R22B12
ML-TN 5-0-AMM6pD                 TEMPLATE-BASED ML-TN 5.0 AMM 6p D R24A13
ML-TN 5-1                        TEMPLATE-BASED ML-TN 5.1
ML-TN 5-1-AMM6pD                 TEMPLATE-BASED ML-TN 5.1 AMM 6pD
ML-TN 5-2-AMM6pD                 TEMPLATE-BASED ML-TN 5.2
ML-TN 5-3-AMM6pD                 TEMPLATE-BASED ML-TN 5.3
ML-TN 5-3-FP-AMM6pD              TEMPLATE-BASED ML-TN 5.3 FP
ML-TN 5-3-FP2-AMM6pD             TEMPLATE-BASED ML-TN 5.3 FP2 AMM6pD
